PSHUFB;xmm,xmm;6
PSHUFW;mm,mm,i;1
PSHUFL/HW;xmm,xmm,i;1
PSHUFD;xmm,xmm,i;1
PALIGNR;xmm, xmm,i;1
MASKMOVQ;mm,mm;
MASKMOVDQU;xmm,xmm;
PMOVMSKB;r32,mm/x;4
PINSRW;mm/x,r32,i;3
PEXTRW;r32,mm/x,i;5
PADD/SUB(U)(S)B/W/D;mm/x, mm/x;1
PADDQ PSUBQ;mm/x, mm/x;5
PHADD(S)W PHSUB(S)W;mm/x, mm/x;8
PHADDD PHSUBD;mm/x, mm/x;6
PCMPEQ/GTB/W/D;mm/x,mm/x;1
PMULL/HW PMULHUW;mm,mm;4
PMULL/HW PMULHUW;xmm,xmm;5
PMULHRSW;mm,mm;4
PMULHRSW;xmm,xmm;5
PMULUDQ;mm,mm;4
PMULUDQ;xmm,xmm;5
PMADDWD;mm,mm;4
PMADDWD;xmm,xmm;5
PMADDUBSW;mm,mm;4
PMADDUBSW;xmm,xmm;5
PSADBW;mm,mm;4
PSADBW;xmm,xmm;5
PAVGB/W;mm/x,mm/x;1
PMIN/MAXUB;mm/x,mm/x;1
PMIN/MAXSW;mm/x,mm/x;1
PABSB PABSW PABSD;mm/x,mm/x;1
PSIGNB PSIGNW PSIGND;mm/x,mm/x;1
PAND(N) POR PXOR;mm/x,mm/x;1
PSLL/RL/RAW/D/Q;mm/x,mm/x;5
PSLL/RL/RAW/D/Q;(x)xmm,i;1
PSLL/RLDQ;xmm,i;1
EMMS;;
MOVAPS/D;xmm,xmm;1
MOVAPS/D;xmm,m128;4
MOVAPS/D;m128,xmm;5
MOVUPS/D;xmm,m128;6
MOVUPS/D;m128,xmm;6
MOVSS/D;xmm,xmm;1
MOVSS/D;xmm,m32/m64;4
MOVSS/D;m32/m64,xmm;5
MOVHPS/D MOVLPS/D;xmm,m64;5
MOVHPS/D;m64,xmm;4
MOVLPS/D;m64,xmm;4
MOVLHPS MOVHLPS;xmm,xmm;1
MOVMSKPS/D;r32,xmm;4
MOVNTPS/D;m128,xmm;~500
SHUFPS;xmm,xmm,i;1
SHUFPD;xmm,xmm,i;1
MOVDDUP;xmm,xmm;1
MOVSH/LDUP;xmm,xmm;1
UNPCKH/LPS;xmm,xmm;1
UNPCKH/LPD;xmm,xmm;1
CVTPD2PS;xmm,xmm;11
CVTSD2SS;xmm,xmm;10
CVTPS2PD;xmm,xmm;7
CVTSS2SD;xmm,xmm;6
CVTDQ2PS;xmm,xmm;6
CVT(T) PS2DQ;xmm,xmm;6
CVTDQ2PD;xmm,xmm;7
CVT(T)PD2DQ;xmm,xmm;6
CVTPI2PS;xmm,mm;6
CVT(T)PS2PI;mm,xmm;4
CVTPI2PD;xmm,mm;7
CVT(T) PD2PI;mm,xmm;7
CVTSI2SS;xmm,r32;7
CVT(T)SS2SI;r32,xmm;10
CVTSI2SD;xmm,r32;8
CVT(T)SD2SI;r32,xmm;10
ADDSS SUBSS;xmm,xmm;5
ADDSD SUBSD;xmm,xmm;5
ADDPS SUBPS;xmm,xmm;5
ADDPD SUBPD;xmm,xmm;6
ADDSUBPS;xmm,xmm;5
ADDSUBPD;xmm,xmm;6
HADDPS HSUBPS;xmm,xmm;8
HADDPD HSUBPD;xmm,xmm;8
MULSS;xmm,xmm;4
MULSD;xmm,xmm;5
MULPS;xmm,xmm;5
MULPD;xmm,xmm;9
DIVSS;xmm,xmm;31
DIVSD;xmm,xmm;60
DIVPS;xmm,xmm;64
DIVPD;xmm,xmm;122
RCPSS;xmm,xmm;4
RCPPS;xmm,xmm;9
CMPccSS/D;xmm,xmm;5
CMPccPS/D;xmm,xmm;6
COMISS/D UCOMISS/D;xmm,xmm;9
MAXSS/D MINSS/D;xmm,xmm;5
MAXPS/D MINPS/D;xmm,xmm;6
SQRTSS;xmm,xmm;31
SQRTPS;xmm,xmm;63
SQRTSD;xmm,xmm;60
SQRTPD;xmm,xmm;121
RSQRTSS;xmm,xmm;4
RSQRTPS;xmm,xmm;9
ANDPS/D;xmm,xmm;1
ANDNPS/D;xmm,xmm;1
ORPS/D;xmm,xmm;1
XORPS/D;xmm,xmm;1
LDMXCSR;m32;5
STMXCSR;m32;14
FXSAVE;m4096;142
FXRSTOR;m4096;149
