MOVD MOVQ;r32/r64,v;4
MOVD MOVQ;m,v;3
MOVD MOVQ;v,r32/r64;5
MOVD MOVQ;v,m;3
MOVQ;v,v;1
MOVDQA;x, x;0-1
MOVDQA MOVDQU;x, m128;3
MOVDQA MOVDQU;m128, x;3
LDDQU ;x, m128;3
MOVDQ2Q;mm, x;1
MOVQ2DQ;x,mm;1
MOVNTQ;m64,mm;3
MOVNTDQ;m128,x;3
MOVNTDQA;x, m128;3
PACKSSWB/DW PACKUSWB;v,v;1
PACKUSDW;x,x;1
PUNPCKH/LBW/WD/DQ;v,v;1
PUNPCKH/LQDQ;v,v;1
PMOVSX/ZX BW BD BQ DW DQ;x,x;1
PMOVSX/ZX BW BD BQ DW DQ;x,m;1
PSHUFB;mm,mm;1
PSHUFB;x,x;1
PSHUFW ;mm,mm,i;1
PSHUFL/HW;x,x,i;1
PSHUFD;x,x,i;1
PALIGNR;x,x,i;1
PBLENDVB;x,x,xmm0;4
PBLENDVB;x,m,xmm0;
PBLENDW;x,x/m,i;1
MASKMOVQ;mm,mm;~300
MASKMOVDQU;x,x;~330
PMOVMSKB;r32,v;4
PINSRW ;v,r32,i;4
PINSRB/D/Q;x,r32,i;4
PINSRB/D/Q;x,m8,i;
PEXTRB/W/D/Q;r,v,i;4
PEXTRB/W/D/Q;m,v,i;
PADD/SUB(U)(S)B/W/D ;v,v;1
PADDQ PSUBQ;v,v;2
PHADD(S)W PHSUB(S)W;mm, mm;7
PHADD(S)W PHSUB(S)W;x, x/m;6
PHADDD PHSUBD;v,v;4
PCMPEQ/GTB/W/D;v,v;1
PCMPEQQ;x, x;2
PCMPGTQ;x, x;2
PMULL/HW PMULHUW;v,v;4
PMULHRSW;v,v;4
PMULLD;x, x;5
PMULDQ;x, x;4
PMULUDQ;v,v;4
PMADDWD;v,v;4
PMADDUBSW;v,v;4
PSADBW;v,v;4
MPSADBW;x,x,i;5
PAVGB/W;v,v;1
PMIN/MAXUB;v,v;1
PMIN/PMAX SB/SW/SD UB/UW/UD;x,x;1
PHMINPOSUW;x,x;5
PABSB PABSW PABSD;v,v;1
PSIGNB PSIGNW PSIGND;v,v;1
PAND(N) POR PXOR;v,v;1
PTEST;x,x;1
PSLL/RL/RAW/D/Q;v,v;2
PSLL/RL/RAW/D/Q;v,i;1
PSLL/RLDQ;x,i;1
PCMPESTRI;x,x,i;26
PCMPESTRM;x,x,i;17
PCMPISTRI;x,x,i;17
PCMPISTRM;x,x,i;12
PCLMULQDQ;x,x,i;6
AESDEC;x,x;4
AESDECLAST;x,x;4
AESENC;x,x;4
AESENCLAST;x,x;4
AESIMC;x,x;4
AESKEYGENASSIST;x,x,i;4
SHA1RNDS4;x,x,i;5
SHA1NEXTE;x,x;3
SHA1MSG1;x,x;3
SHA1MSG2;x,x;3
SHA256RNDS2;x,x;8
SHA256MSG1;x,x;3
SHA256MSG2;x,x;3
EMMS;;
MOVAPS/D;x, x;0-1
MOVAPS/D;x,m128;3
MOVAPS/D;m128,x;3
MOVUPS/D;x,m128;3
MOVUPS/D;m128,x;3
MOVSS/D;x, x;1
MOVSS/D;x,m32/64;3
MOVSS/D;m32/64,x;3
MOVHPS/D MOVLPS/D;x,m64;4
MOVHPS/D MOVLPS/D;m64,x;3
MOVLHPS MOVHLPS;x,x;1
BLENDPS/PD;x,x/m,i;1
BLENDVPS/PD;x,x,xmm0;4
INSERTPS;x,x,i;1
INSERTPS;x,m32,i;4
