FLD1 FLDPI FLDL2E etc.;;
FCMOVcc;r;2
FNSTSW;AX;7
FNSTSW;m16;
FLDCW;m16;
FNSTCW;m16;
FINCSTP FDECSTP;;1
FFREE;r;
FFREEP;r;
FNSAVE;;
FRSTOR;;
FADD(P) FSUB(R)(P);r;3
FADD(P) FSUB(R)(P);m;3
FMUL(P);r;5
FMUL(P);m;5
FDIV(R)(P);r;9-38 c)
FDIV(R)(P);m;9-38 c)
FABS;;1
FCHS;;1
FCOM(P) FUCOM;r;1
FCOM(P) FUCOM;m;1
FCOMPP FUCOMPP;;1
FCOMI(P) FUCOMI(P);r;1
FIADD FISUB(R);m;3
FIMUL;m;5
FIDIV(R);m;9-38 c)
FICOM(P);m;
FTST;;
FXAM;;
FPREM FPREM1;;37
FRNDINT;;19
FSCALE;;43
FXTRACT;;9
FSQRT;;9 h)
FSIN FCOS;;
FSINCOS;;
F2XM1;;
FYL2X;;
FYL2XP1;;
FPTAN;;
FPATAN;;
FNOP;;
WAIT;;
FNCLEX;;
FNINIT;;
MOVD;r32,mm;1
MOVD ;mm,r32;1
MOVD ;mm,m32;
MOVD ;m32,mm;
MOVD;r32,xmm;1
MOVD ;xmm,r32;
MOVD ;xmm,m32;
MOVD ;m32, xmm;
MOVQ;mm,mm;
MOVQ;mm,m64;
MOVQ;m64,mm;
MOVQ;xmm,xmm;1
MOVQ;xmm,m64;
MOVQ;m64, xmm;
MOVDQA;xmm, xmm;1
MOVDQA;xmm, m128;
MOVDQA;m128, xmm;
MOVDQU;xmm, m128;
MOVDQU;m128, xmm;
LDDQU g);xmm, m128;
MOVDQ2Q;mm, xmm;1
MOVQ2DQ;xmm,mm;1
MOVNTQ;m64,mm;
MOVNTDQ;m128,xmm;
PACKSSWB/DW PACKUSWB;mm,mm;1
PACKSSWB/DW PACKUSWB;mm,m64;1
PACKSSWB/DW PACKUSWB;xmm,xmm;2
PACKSSWB/DW PACKUSWB;xmm,m128;2
PUNPCKH/LBW/WD/DQ;mm,mm;1
PUNPCKH/LBW/WD/DQ;mm,m64;
PUNPCKH/LBW/WD/DQ;xmm,xmm;2
PUNPCKH/LBW/WD/DQ;xmm,m128;
PUNPCKHQDQ;xmm,xmm;1
PUNPCKHQDQ;xmm, m128;
PUNPCKLQDQ;xmm,xmm;1
PUNPCKLQDQ;xmm, m128;
PSHUFW ;mm,mm,i;1
PSHUFW ;mm,m64,i;
PSHUFD;xmm,xmm,i;2
PSHUFD;xmm,m128,i;
PSHUFL/HW;xmm,xmm,i;
PSHUFL/HW;xmm, m128,i;
MASKMOVQ;mm,mm;
MASKMOVDQU;xmm,xmm;
PMOVMSKB;r32,mm;1
PMOVMSKB;r32,xmm;1
PEXTRW ;r32,mm,i;2
PEXTRW ;r32,xmm,i;3
PINSRW ;mm,r32,i;1
PINSRW ;xmm,r32,i;1
PADD/SUB(U)(S)B/W/D ;mm,mm;1
PADD/SUB(U)(S)B/W/D ;mm,m64;
PADD/SUB(U)(S)B/W/D;xmm,xmm;1
PADD/SUB(U)(S)B/W/D;xmm,m128;
PADDQ PSUBQ;mm,mm;2
PADDQ PSUBQ;mm,m64;
PADDQ PSUBQ;xmm,xmm;2
PADDQ PSUBQ;xmm,m128;
PCMPEQ/GTB/W/D;mm,mm;1
PCMPEQ/GTB/W/D;mm,m64;
PCMPEQ/GTB/W/D;xmm,xmm;1
PCMPEQ/GTB/W/D;xmm,m128;
PMULL/HW PMULHUW;mm,mm;3
PMULL/HW PMULHUW;mm,m64;3
PMULL/HW PMULHUW;xmm,xmm;3
PMULL/HW PMULHUW;xmm,m128;3
PMULUDQ;mm,mm;4
PMULUDQ;mm,m64;4
PMULUDQ;xmm,xmm;4
PMULUDQ;xmm,m128;4
PMADDWD;mm,mm;3
PMADDWD;mm,m64;3
PMADDWD;xmm,xmm;3
PMADDWD;xmm,m128;3
PAVGB/W;mm,mm;1
PAVGB/W;mm,m64;
PAVGB/W;xmm,xmm;1
PAVGB/W;xmm,m128;
PMIN/MAXUB/SW;mm,mm;1
PMIN/MAXUB/SW;mm,m64;
PMIN/MAXUB/SW;xmm,xmm;1
