FRSTOR;m;136
MOVD;r32,mm;4
MOVD;mm,r32;6
MOVD;mm,m32;4
MOVD;r32,x;4
MOVD;x,r32;6
MOVD;x,m32;4
MOVD;m32,mm/x;3
MOVD/MOVQ;r64,mm/x;4
MOVQ;mm,r64;6
MOVQ;x,r64;6
MOVQ;mm,mm;1
MOVQ;x,x;1
MOVQ;mm/x,m64;4
MOVQ;m64,mm/x;3
MOVDQA;x,x;1
VMOVDQA;y,y;1
MOVDQA;x,m;4
VMOVDQA;y,m;4
MOVDQA;m,x;3
VMOVDQA;m,y;3
MOVDQU, LDDQU;x.m;4
MOVDQU;m,x;3
MOVDQ2Q;mm,x;1
MOVQ2DQ;x,mm;1
MOVNTQ;m,mm;429
MOVNTDQ;m,x;429
PACKSSWB/DW PACKUSWB;mm,r/m;1
PACKSSWB/DW PACKUSWB;x,r/m;2
PUNPCKH/LBW/WD/DQ;mm,r/m;1
PUNPCKH/LBW/WD/DQ;x,r/m;2
PUNPCKH/LQDQ;x,r/m;2
PSHUFB;mm,mm;1
PSHUFB;x,x;4
PSHUFD;x,x,i;2
PSHUFW;mm,mm,i;1
PSHUFL/HW;x,x,i;1
PALIGNR;x,x,i;2
PBLENDW;x,r/m;1
MASKMOVQ;mm,mm;432
MASKMOVDQU;x,x;43-2210
PMOVMSKB;r32,mm/x;3
PEXTRW;r32,mm/x,i;4
PINSRW;mm,r32,i;8
PINSRB/W/D/Q;x,r,i;7
PINSRB/W/D/Q;x,m,i;
PEXTRB/W/D/Q;r,x,i;3
PEXTRB/W/D/Q;m,x,i;
INSERTQ;x,x;2
INSERTQ;x,x,i,i;2
EXTRQ;x,x;1
EXTRQ;x,x,i,i;1
PMOVSXBW/BD/BQ/WD/WQ/DQ;x,x;2
PMOVZXBW/BD/BQ/WD/WQ/DQ;x,x;2
PADDB/W/D/Q PADDSB/W ADDUSB/W PSUBB/W/D/Q PSUBSB/W PSUBUSB/W;mm/x,r/m;1
PHADD/SUBW/SW/D;mm,r/m;1
PHADD/SUBW/SW/D;x,r/m;2
PCMPEQ/GT B/W/D;mm,r/m;1
PCMPEQ/GT B/W/D;x,r/m;1
PCMPEQQ;mm/x,r/m;1
PCMPGTQ;mm/x,r/m;1
PMULLW PMULHW PMULHUW PMULUDQ;mm/x,r/m;2
PMULLD;x,r/m;4
PMULDQ;x,r/m;2
PMULHRSW;mm/x,r/m;2
PMADDWD;mm/x,r/m;2
PMADDUBSW;mm/x,r/m;2
PAVGB/W;mm/x,r/m;1
PMIN/MAX SW/UB;mm/x,r/m;1
PABSB/W/D;mm/x,r/m;1
PSIGNB/W/D;mm/x,r/m;1
PSADBW;mm/x,r/m;2
MPSADBW;x,x,i;4
PAND PANDN POR PXOR;mm/x,r/m;1
PSLL/RL W/D/Q PSRAW/D;mm,i/mm/m;1
PSLL/RL W/D/Q PSRAW/D;x,x;2
PSLL/RL W/D/Q PSRAW/D;x,i;1
PSLLDQ, PSRLDQ;x,i;2
PTEST;x,x/m;3
PCMPESTRI;x,x,i;5
PCMPESTRI;x,m,i;
PCMPESTRM;x,x,i;9
PCMPESTRM;x,m,i;
PCMPISTRI;x,x,i;2
PCMPISTRI;x,m,i;
PCMPISTRM;x,x,i;8
PCMPISTRM;x,m,i;
PCLMULQDQ;x,x/m,i;3
AESDEC;x,x;5
AESDECLAST;x,x;5
AESENC;x,x;5
AESENCLAST;x,x;5
AESIMC;x,x;2
AESKEYGENASSIST;x,x,i;2
EMMS;;
MOVAPS/D;x,x;1
VMOVAPS/D;y,y;1
MOVAPS/D;x,m;4
VMOVAPS/D;y,m;4
MOVAPS/D;m,x;3
VMOVAPS/D;m,y;3
MOVUPS/D;x,x;1
VMOVUPS/D;y,y;1
MOVUPS/D;x,m;4
VMOVUPS/D;y,m;4
MOVUPS/D;m,x;3
VMOVUPS/D;m,y;3
MOVSS/D;x,x;1
MOVSS/D;x,m;4
MOVSS/D;m,x;3
MOVHLPS, MOVLHPS;x,x;2
MOVHPS/D, MOVLPS/D;x,m;5
MOVHPS/D, MOVLPS/D;m,x;4
MOVNTPS/D;m,x;429
MOVNTSS/D;m,x;
MOVDDUP;x,x;2
MOVDDUP;x,m64;
VMOVDDUP;y,y;2
VMOVDDUP;y,m;
MOVSH/LDUP;x,x;1
MOVSH/LDUP;x,m;
VMOVSH/LDUP;y,y;1
VMOVSH/LDUP;y,m;
MOVMSKPS/D;r32,x;3
VMOVMSKPS/D;r32,y;3
SHUFPS/D;x,x/m,i;2
VSHUFPS/D;y,y,y,i;2
UNPCK H/L PS/D;x,x/m;2
VUNPCK H/L PS/D;y,y,y;2
EXTRACTPS;r32,x,i;3
EXTRACTPS;m32,x,i;3
VEXTRACTF128;x,y,i;1
VEXTRACTF128;m128,y,i;12
INSERTPS;x,x,i;
INSERTPS;x,m32,i;6
VINSERTF128;y,y,x,i;1
VINSERTF128;y,y,m128,i;13
VMASKMOVPS/D;x,x,m128;15
VMASKMOVPS/D;y,y,m256;15
VMASKMOVPS/D;m128,x,x;21
VMASKMOVPS/D;m256,y,y;32
CVTPS2PD;x,x/m;3
VCVTPS2PD;y,x/m;4
CVTPD2PS;x,x/m;4
VCVTPD2PS;x,y;6
CVTSD2SS;x,x/m;5
CVTSS2SD;x,x/m;4
CVTDQ2PS/PD;x,x/m;4
VCVTDQ2PS/PD;y,y;4
CVT(T)PS2DQ;x,x/m;4
VCVT(T)PS2DQ;y,y;4
CVT(T)PD2DQ;x,x/m;4
VCVT(T)PD2DQ;y,y;7
CVTPI2PS;xmm,mm;4
CVTPI2PD;xmm,mm;4
CVT(T)PS2PI;mm,xmm;4
CVT(T)PD2PI;mm,xmm;4
CVTSI2SS;xmm,r32;9
CVTSI2SD;xmm,r32;9
CVT(T)SS2SI;r32,xmm;8
CVT(T)SD2SI;r32,xmm;8
VCVTPS2PH;x/m,x,i;4
VCVTPS2PH;x/m,y,i;6
VCVTPH2PS;x,x/m;4
VCVTPH2PS;y,x/m;5
ADDSS/D SUBSS/D;x,x/m;3
ADDPS/D SUBPS/D;x,x/m;3
VADDPS/D VSUBPS/D;y,y/m;3
ADDSUBPS/D;x,x/m;3
VADDSUBPS/D;y,y/m;3
HADD/SUBPS/D;x,x/m;4
VHADD/SUBPS/D;y,y/m;4
MULSS/PS;x,x/m;2
VMULPS;y,y/m;2
MULSD/PD;x,x/m;4
VMULPD;y,y/m;4
DIVSS;x,x/m;14
DIVPS;x,x/m;19
VDIVPS;y,y/m;38
DIVSD;x,x/m;19
DIVPD;x,x/m;19
VDIVPD;y,y/m;38
RCPSS;x,x/m;2
RCPPS;x,x/m;2
VRCPPS;y,y/m;2
MAXSS/D MINSS/D;x,x/m;2
MAXPS/D MINPS/D;x,x/m;2
VMAXPS/D VMINPS/D;y,y/m;2
CMPccSS/D;x,x/m;2
CMPccPS/D;x,x/m;2
VCMPccPS/D;y,y/m;2
(U)COMISS/D;x,x/m;
ROUNDSS/SD/PS/PD;x,x/m,i;4
VROUNDSS/D/PS/D;y,y/m,i;4
DPPS;x,x,i;11
DPPS;x,m,i;
VDPPS;y,y,y,i;12
VDPPS;y,m,i;
DPPD;x,x,i;9
DPPD;x,m,i;
ANDPS/D ANDNPS/D ORPS/D XORPS/D;x,x/m;1
VANDPS/D, etc.;y,y/m;1
SQRTSS;x,x/m;16
SQRTPS;x,x/m;21
VSQRTPS;y,y/m;42
SQRTSD;x,x/m;27
SQRTPD;x,x/m;27
VSQRTPD;y,y/m;54
RSQRTSS/PS;x,x/m;2
VRSQRTPS;y,y/m;2
LDMXCSR;m;9
STMXCSR;m;13
VZEROUPPER;;
VZEROUPPER;;
VZEROALL;;
VZEROALL;;
FXSAVE;;66
FXSAVE;;58
FXRSTOR;;189
FXRSTOR;;198
XSAVE;;145
XSAVE;;129
XRSTOR;;342
XRSTOR;;375
