CVT(T)SS2SI;r32,xmm;3
CVTSS2SI;r32,m128;4
ADDPS SUBPS;xmm,xmm;3
ADDPS SUBPS;xmm,m128;3
ADDSS SUBSS;xmm,xmm;3
ADDSS SUBSS;xmm,m32;3
MULPS;xmm,xmm;4
MULPS;xmm,m128;4
MULSS;xmm,xmm;4
MULSS;xmm,m32;4
DIVPS;xmm,xmm;48
DIVPS;xmm,m128;48
DIVSS;xmm,xmm;18
DIVSS;xmm,m32;18
AND(N)PS ORPS XORPS;xmm,xmm;2
AND(N)PS ORPS XORPS;xmm,m128;2
MAXPS MINPS;xmm,xmm;3
MAXPS MINPS;xmm,m128;3
MAXSS MINSS;xmm,xmm;3
MAXSS MINSS;xmm,m32;3
CMPccPS;xmm,xmm;3
CMPccPS;xmm,m128;3
CMPccSS;xmm,xmm;3
CMPccSS;xmm,m32;3
COMISS UCOMISS;xmm,xmm;1
COMISS UCOMISS;xmm,m32;1
SQRTPS;xmm,xmm;56
SQRTPS;xmm,m128;57
SQRTSS;xmm,xmm;30
SQRTSS;xmm,m32;31
RSQRTPS;xmm,xmm;2
RSQRTPS;xmm,m128;3
RSQRTSS;xmm,xmm;1
RSQRTSS;xmm,m32;2
RCPPS;xmm,xmm;2
RCPPS;xmm,m128;3
RCPSS;xmm,xmm;1
RCPSS;xmm,m32;2
SHUFPS;xmm,xmm,i;2
SHUFPS;xmm,m128,i;2
UNPCKHPS UNPCKLPS;xmm,xmm;3
UNPCKHPS UNPCKLPS;xmm,m128;3
LDMXCSR;m32;15
STMXCSR;m32;7
FXSAVE;m4096;62
FXRSTOR;m4096;68
